# 年	6473747
た 。	6373644
し て	4297171
は 、	3622612
し た	3620541
さ れ	3395838
て いる	3236339
# 月	2923475
。 #	2727331
、 #	2377665
いる 。	2355552
れ た	2318487
で ある	2272126
と し	2164748
年 #	2142909
ある 。	2069238
# 日	1989378
月 #	1896442
が 、	1793091
で は	1768179
に は	1729203
れ て	1671255
て い	1614985
い た	1450812
し 、	1371549
は #	1168678
年 に	1046338
で 、	977231
年 )	930984
」 と	924696
た が	918413
と いう	893605
なっ た	884629
て 、	874095
) は	854798
あっ た	837002
と なっ	808973
の #	781685
さ れる	734637
れ 、	729629
第 #	682162
する 。	679578
あり 、	664882
日 に	623979
。 また	614829
。 この	612592
に 、	609699
年 (	561529
で あっ	561331
) に	559608
が ある	547257
こと が	540600
に よる	518197
なっ て	513577
れる 。	512919
に なっ	502834
) 、	500961
おり 、	492547
て おり	492323
。 その	492186
、 「	491625
に より	490632
よっ て	488806
に よっ	482886
、 その	475342
よう に	473211
て は	467354
) の	464982
ため 、	461027
また 、	445208
で も	441795
で あり	441231
と 、	440003
は 「	435164
する こと	434991
) 。	428567
的 な	427633
) と	426410
た と	409409
と の	408880
に も	402494
た こと	400866
的 に	400730
日 、	394249
# 人	389498
から #	388839
月 に	380912
と なる	378092
年 、	375774
年 の	371675
だっ た	369335
) #	362244
で の	359658
なかっ た	359467
おい て	356982
に おい	355267
へ の	341954
つい て	332540
こと に	332191
なる 。	331757
に つい	329462
、 日本	329237
後 、	329104
ない 。	324094
」 の	324074
その 後	323531
と は	323195
# 回	318990
が #	315115
。 しかし	313802
こと を	310066
に ある	307553
られ た	305704
など の	302488
なり 、	301441
。 これ	300400
た の	294643
た もの	289328
日本 の	279257
、 この	278654
) が	277622
) を	277089
で #	276998
られ て	276469
ため に	275915
」 を	275185
に #	270536
も ある	267786
と する	267043
に なる	266578
昭和 #	265802
た ため	260800
行わ れ	258668
) で	248981
を 受け	247566
て も	243926
後 に	241793
もの で	238020
する と	237964
よう な	236731
の ため	234183
と さ	231183
( 昭和	230920
# 位	230763
に 対し	227963
こと で	227474
の 「	226652
ず 、	224146
も 、	222467
と なり	221610
から 、	218373
の よう	215157
月 、	214590
約 #	213134
の は	211378
年 から	204854
に し	204457
の で	202730
人 の	201302
